Date,Open,High,Low,Close ,Adj Close ,Volume
21-May-24,426.83,432.97,424.85,429.04,426.56,"21,453,300"
20-May-24,420.21,426.77,419.99,425.34,422.88,"16,272,100"
17-May-24,422.54,422.92,418.03,420.21,417.78,"15,352,200"
16-May-24,421.8,425.42,420.35,420.99,418.55,"17,530,100"
15-May-24,417.9,423.81,417.27,423.08,420.63,"22,239,500"
14-May-24,412.02,417.49,411.55,416.56,413.4,"15,109,300"
13-May-24,418.01,418.35,410.82,413.72,410.59,"15,440,200"
10-May-24,412.94,415.38,411.8,414.74,411.6,"13,402,300"
9-May-24,410.57,412.72,409.1,412.32,409.2,"14,689,700"
8-May-24,408.17,412.23,406.71,410.54,407.43,"11,792,300"
7-May-24,414.66,414.67,409.09,409.34,406.24,"20,018,200"
6-May-24,408.76,413.93,406.37,413.54,410.41,"16,996,600"
3-May-24,402.28,407.15,401.86,406.66,403.58,"17,446,700"
2-May-24,397.66,399.93,394.65,397.84,394.83,"17,709,400"
1-May-24,392.61,401.72,390.31,394.94,391.95,"23,562,500"
30-Apr-24,401.49,402.16,389.17,389.33,386.38,"28,781,400"
29-Apr-24,405.25,406.32,399.19,402.25,399.2,"19,582,100"
26-Apr-24,412.17,413,405.76,406.32,403.24,"29,694,700"
